"","name","summary","doi","language","release_date","docs","tutorials","license","stars","source","Category","Citation_Count","apa_citation","author"
"11","autoFC","Automatic Construction of Forced-Choice Tests","10.32614/CRAN.package.autoFC","R",2025-03-13,"https://cran.r-project.org/web/packages/autoFC/index.html","https://cran.r-project.org/web/packages/autoFC/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"autoFC. (2025). Automatic Construction of Forced-Choice Tests. R package version 0.2.0.1002. https://doi.org/10.32614/CRAN.package.autoFC","Mengtong Li [cre, aut] (ORCID: <https://orcid.org/0000-0002-1766-4976>),
  Tianjun Sun [aut] (ORCID: <https://orcid.org/0000-0002-3655-0042>),
  Bo Zhang [aut] (ORCID: <https://orcid.org/0000-0002-6730-7336>)"
"12","AutoPipe","Automated Transcriptome Classifier Pipeline: Comprehensive
Transcriptome Analysis","10.32614/CRAN.package.AutoPipe","R",2019-02-27,"https://cran.r-project.org/web/packages/AutoPipe/index.html","https://cran.r-project.org/web/packages/AutoPipe/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"AutoPipe. (2019). Automated Transcriptome Classifier Pipeline: Comprehensive
Transcriptome Analysis. R package version 0.1.6. https://doi.org/10.32614/CRAN.package.AutoPipe","Karam Daka [cre, aut],
  Dieter Henrik Heiland [aut]"
"13","BaHZING","Bayesian Hierarchical Zero-Inflated Negative Binomial Regression
with G-Computation","10.32614/CRAN.package.BaHZING","R",2025-02-17,"https://cran.r-project.org/web/packages/BaHZING/index.html","https://cran.r-project.org/web/packages/BaHZING/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"BaHZING. (2025). Bayesian Hierarchical Zero-Inflated Negative Binomial Regression
with G-Computation. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.BaHZING","Hailey Hampson [aut],
  Jesse Goodrich [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-6615-0472>),
  Hongxu Wang [aut],
  Tanya Alderete [ctb],
  Shardul Nazirkar [ctb],
  David Conti [aut]"
"14","BEDMatrix","Extract Genotypes from a PLINK .bed File","10.32614/CRAN.package.BEDMatrix","R",2024-09-06,"https://cran.r-project.org/web/packages/BEDMatrix/index.html","https://cran.r-project.org/web/packages/BEDMatrix/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"BEDMatrix. (2024). Extract Genotypes from a PLINK .bed File. R package version 2.0.4. https://doi.org/10.32614/CRAN.package.BEDMatrix","Alexander Grueneberg [aut, cre],
  Gustavo de los Campos [ctb]"
"15","bigQF","Quadratic Forms in Large Matrices","10.32614/CRAN.package.bigQF","R",2021-11-23,"https://cran.r-project.org/web/packages/bigQF/index.html","https://cran.r-project.org/web/packages/bigQF/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"bigQF. (2021). Quadratic Forms in Large Matrices. R package version 1.6. https://doi.org/10.32614/CRAN.package.bigQF","Thomas Lumley"
"16","BIGr","Breeding Insight Genomics Functions for Polyploid and Diploid
Species","10.32614/CRAN.package.BIGr","R",2025-05-19,"https://cran.r-project.org/web/packages/BIGr/index.html","https://cran.r-project.org/web/packages/BIGr/vignettes","Apache License (>= 2)",NA,"CRAN","Specialized analysis",NA,"BIGr. (2025). Breeding Insight Genomics Functions for Polyploid and Diploid
Species. R package version 0.5.5. https://doi.org/10.32614/CRAN.package.BIGr","Alexander M. Sandercock [cre, aut],
  Cristiane Taniguti [aut],
  Josue Chinchilla-Vargas [aut],
  Shufen Chen [ctb],
  Manoj Sapkota [ctb],
  Meng Lin [ctb],
  Dongyan Zhao [ctb],
  Cornell University [cph] (Breeding Insight)"
"17","bioinactivation","Mathematical Modelling of (Dynamic) Microbial Inactivation","10.32614/CRAN.package.bioinactivation","R",2025-04-06,"https://cran.r-project.org/web/packages/bioinactivation/index.html","https://cran.r-project.org/web/packages/bioinactivation/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"bioinactivation. (2025). Mathematical Modelling of (Dynamic) Microbial Inactivation. R package version 1.3.0. https://doi.org/10.32614/CRAN.package.bioinactivation","Alberto Garre [aut, cre],
  Pablo S. Fernandez [aut],
  Jose A. Egea [aut]"
"18","BootMRMR","Bootstrap-MRMR Technique for Informative Gene Selection","10.32614/CRAN.package.BootMRMR","R",2016-09-12,"https://cran.r-project.org/web/packages/BootMRMR/index.html","https://cran.r-project.org/web/packages/BootMRMR/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"BootMRMR. (2016). Bootstrap-MRMR Technique for Informative Gene Selection. R package version 0.1. https://doi.org/10.32614/CRAN.package.BootMRMR","Samarendra Das <samarendra4849@gmail.com>"
"19","BRACoD.R","BRACoD: Bayesian Regression Analysis of Compositional Data","10.32614/CRAN.package.BRACoD.R","R",2022-03-24,"https://cran.r-project.org/web/packages/BRACoD.R/index.html","https://cran.r-project.org/web/packages/BRACoD.R/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"BRACoD.R. (2022). BRACoD: Bayesian Regression Analysis of Compositional Data. R package version 0.0.2.0. https://doi.org/10.32614/CRAN.package.BRACoD.R","Adrian Verster [aut, cre]"
"20","breakaway","Species Richness Estimation and Modeling","10.32614/CRAN.package.breakaway","R",2022-11-22,"https://cran.r-project.org/web/packages/breakaway/index.html","https://cran.r-project.org/web/packages/breakaway/vignettes","GPL-2",NA,"CRAN","Specialized analysis",1,"breakaway. (2022). Species Richness Estimation and Modeling. R package version 4.8.4. https://doi.org/10.32614/CRAN.package.breakaway","Amy D Willis [aut, cre],
  Bryan D Martin [aut],
  Pauline Trinh [aut],
  Sarah Teichman [aut],
  David Clausen [aut],
  Kathryn Barger [aut],
  John Bunge [aut]"
"21","bws","Bayesian Weighted Sums","10.32614/CRAN.package.bws","R",2022-08-12,"https://cran.r-project.org/web/packages/bws/index.html","https://cran.r-project.org/web/packages/bws/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",1,"bws. (2022). Bayesian Weighted Sums. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.bws","Phuc H. Nguyen [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6206-0194>)"
"22","CALANGO","Comparative Analysis with Annotation-Based Genomic Components","10.32614/CRAN.package.CALANGO","R",2024-09-05,"https://cran.r-project.org/web/packages/CALANGO/index.html","https://cran.r-project.org/web/packages/CALANGO/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"CALANGO. (2024). Comparative Analysis with Annotation-Based Genomic Components. R package version 1.0.20. https://doi.org/10.32614/CRAN.package.CALANGO","Francisco Lobo [aut],
  Felipe Campelo [aut, cre],
  Jorge Augusto Hongo [aut],
  Giovanni Marques de Castro [aut],
  Gabriel Almeida [sad, dnc]"
"23","Canek","Batch Correction of Single Cell Transcriptome Data","10.32614/CRAN.package.Canek","R",2023-12-08,"https://cran.r-project.org/web/packages/Canek/index.html","https://cran.r-project.org/web/packages/Canek/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"Canek. (2023). Batch Correction of Single Cell Transcriptome Data. R package version 0.2.5. https://doi.org/10.32614/CRAN.package.Canek","Martin Loza [aut, cre] (ORCID: <https://orcid.org/0000-0002-3342-2643>),
  Diego Diez [aut] (ORCID: <https://orcid.org/0000-0002-2325-4893>)"
"24","CascadeData","Experimental Data of Cascade Experiments in Genomics","10.32614/CRAN.package.CascadeData","R",2022-11-28,"https://cran.r-project.org/web/packages/CascadeData/index.html","https://cran.r-project.org/web/packages/CascadeData/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"CascadeData. (2022). Experimental Data of Cascade Experiments in Genomics. R package version 1.4. https://doi.org/10.32614/CRAN.package.CascadeData","Frederic Bertrand [cre, aut] (ORCID:
    <https://orcid.org/0000-0002-0837-8281>),
  Myriam Maumy-Bertrand [aut] (ORCID:
    <https://orcid.org/0000-0002-4615-1512>),
  Laurent Vallat [ctb],
  Nicolas Jung [ctb]"
"25","CausCor","Calculate Correlations and Estimate Causality","10.32614/CRAN.package.CausCor","R",2023-11-10,"https://cran.r-project.org/web/packages/CausCor/index.html","https://cran.r-project.org/web/packages/CausCor/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"CausCor. (2023). Calculate Correlations and Estimate Causality. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.CausCor","Tomomi Sugiyama [aut, cre]"
"26","ccmm","Compositional Mediation Model","10.32614/CRAN.package.ccmm","R",2017-08-28,"https://cran.r-project.org/web/packages/ccmm/index.html","https://cran.r-project.org/web/packages/ccmm/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"ccmm. (2017). Compositional Mediation Model. R package version 1.0. https://doi.org/10.32614/CRAN.package.ccmm","Michael B. Sohn"
"27","chem16S","Chemical Metrics for Microbial Communities","10.32614/CRAN.package.chem16S","R",2025-01-16,"https://cran.r-project.org/web/packages/chem16S/index.html","https://cran.r-project.org/web/packages/chem16S/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"chem16S. (2025). Chemical Metrics for Microbial Communities. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.chem16S","Jeffrey Dick [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-0687-5890>)"
"28","CleaningValidation","Cleaning Validation Functions for Pharmaceutical Cleaning
Process","10.32614/CRAN.package.CleaningValidation","R",2024-05-17,"https://cran.r-project.org/web/packages/CleaningValidation/index.html","https://cran.r-project.org/web/packages/CleaningValidation/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"CleaningValidation. (2024). Cleaning Validation Functions for Pharmaceutical Cleaning
Process. R package version 1.0. https://doi.org/10.32614/CRAN.package.CleaningValidation","Mohamed Chan [aut],
  Wendy Lou [aut],
  Xiande Yang [aut, cre]"
"29","coda4microbiome","Compositional Data Analysis for Microbiome Studies","10.32614/CRAN.package.coda4microbiome","R",2024-07-17,"https://cran.r-project.org/web/packages/coda4microbiome/index.html","https://cran.r-project.org/web/packages/coda4microbiome/vignettes","MIT + file LICENSE",NA,"CRAN","Metagenomics and community analysis",0,"coda4microbiome. (2024). Compositional Data Analysis for Microbiome Studies. R package version 0.2.4. https://doi.org/10.32614/CRAN.package.coda4microbiome","Malu Calle [aut] (ORCID: <https://orcid.org/0000-0001-9334-415X>),
  Toni Susin [aut, cre] (ORCID: <https://orcid.org/0000-0002-0874-2784>),
  Meritxell Pujolassos [aut] (ORCID:
    <https://orcid.org/0000-0003-0313-3506>)"
"30","CoDaLoMic","Compositional Models to Longitudinal Microbiome Data","10.32614/CRAN.package.CoDaLoMic","R",2025-06-13,"https://cran.r-project.org/web/packages/CoDaLoMic/index.html","https://cran.r-project.org/web/packages/CoDaLoMic/vignettes","GPL-3",NA,"CRAN","Metagenomics and community analysis",0,"CoDaLoMic. (2025). Compositional Models to Longitudinal Microbiome Data. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.CoDaLoMic","Irene Creus Martí [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-7962-4478>)"
"31","colorednoise","Simulate Temporally Autocorrelated Populations","10.32614/CRAN.package.colorednoise","R",2024-02-28,"https://cran.r-project.org/web/packages/colorednoise/index.html","https://cran.r-project.org/web/packages/colorednoise/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"colorednoise. (2024). Simulate Temporally Autocorrelated Populations. R package version 1.1.2. https://doi.org/10.32614/CRAN.package.colorednoise","July Pilowsky [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6376-2585>)"
"32","CoreMicrobiomeR","Identification of Core Microbiome","10.32614/CRAN.package.CoreMicrobiomeR","R",2024-04-03,"https://cran.r-project.org/web/packages/CoreMicrobiomeR/index.html","https://cran.r-project.org/web/packages/CoreMicrobiomeR/vignettes","GPL-3",NA,"CRAN","Metagenomics and community analysis",0,"CoreMicrobiomeR. (2024). Identification of Core Microbiome. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.CoreMicrobiomeR","Sorna A M [aut],
  Mohammad Samir Farooqi [aut, cre],
  Dwijesh Chandra Mishra [aut],
  Krishna Kumar Chaturvedi [aut],
  Anu Sharma [aut],
  Prawin Arya [aut],
  Sudhir Srivastava [aut],
  Sharanbasappa [aut],
  Girish Kumar Jha [aut],
  Kabilan S [ctb]"
"33","CSESA","CRISPR-Based Salmonella Enterica Serotype Analyzer","10.32614/CRAN.package.CSESA","R",2019-03-03,"https://cran.r-project.org/web/packages/CSESA/index.html","https://cran.r-project.org/web/packages/CSESA/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",0,"CSESA. (2019). CRISPR-Based Salmonella Enterica Serotype Analyzer. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.CSESA","Xia Zhang [aut, cre],
  Lang Yang [aut]"
"34","ddiv","Data Driven I-v Feature Extraction","10.32614/CRAN.package.ddiv","R",2021-04-14,"https://cran.r-project.org/web/packages/ddiv/index.html","https://cran.r-project.org/web/packages/ddiv/vignettes","GPL (>= 2)",NA,"CRAN","Specialized analysis",5,"ddiv. (2021). Data Driven I-v Feature Extraction. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ddiv","Wei-Heng Huang [aut] (ORCID: <https://orcid.org/0000-0002-6609-4981>),
  Xuan Ma [aut] (ORCID: <https://orcid.org/0000-0003-2361-2846>),
  Jiqi Liu [aut] (ORCID: <https://orcid.org/0000-0003-2016-4160>),
  Menghong Wang [ctb] (ORCID: <https://orcid.org/0000-0001-7349-699X>),
  Alan J. Curran [ctb] (ORCID: <https://orcid.org/0000-0002-4505-8359>),
  Justin S. Fada [ctb] (ORCID: <https://orcid.org/0000-0002-0029-5051>),
  Jean-Nicolas Jaubert [ctb] (ORCID:
    <https://orcid.org/0000-0002-9663-6999>),
  Jing Sun [ctb] (ORCID: <https://orcid.org/0000-0002-4313-2316>),
  Jennifer L. Braid [ctb] (ORCID:
    <https://orcid.org/0000-0002-0677-7756>),
  Jenny Brynjarsdottir [ctb] (ORCID:
    <https://orcid.org/0000-0003-1859-4962>),
  Roger H. French [aut, cph] (ORCID:
    <https://orcid.org/0000-0002-6162-0532>),
  Megan M. Morbitzer [ctb, cre] (ORCID:
    <https://orcid.org/0000-0002-9847-2350>)"
"35","DDRTree","Learning Principal Graphs with DDRTree","10.32614/CRAN.package.DDRTree","R",2017-04-30,"https://cran.r-project.org/web/packages/DDRTree/index.html","https://cran.r-project.org/web/packages/DDRTree/vignettes","Artistic License 2.0",NA,"CRAN","Specialized analysis",0,"DDRTree. (2017). Learning Principal Graphs with DDRTree. R package version 0.1.5. https://doi.org/10.32614/CRAN.package.DDRTree","Xiaojie Qiu, Cole Trapnell, Qi Mao, Li Wang"
"36","deepredeff","Deep Learning Prediction of Effectors","10.32614/CRAN.package.deepredeff","R",2021-07-16,"https://cran.r-project.org/web/packages/deepredeff/index.html","https://cran.r-project.org/web/packages/deepredeff/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"deepredeff. (2021). Deep Learning Prediction of Effectors. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.deepredeff","Ruth Kristianingsih [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-1873-6203>)"
"37","DEET","Differential Expression Enrichment Tool","10.32614/CRAN.package.DEET","R",2024-06-26,"https://cran.r-project.org/web/packages/DEET/index.html","https://cran.r-project.org/web/packages/DEET/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"DEET. (2024). Differential Expression Enrichment Tool. R package version 1.0.12. https://doi.org/10.32614/CRAN.package.DEET","Dustin Sokolowski [aut, cre],
  Jedid Ahn [aut],
  Lauren Erdman [aut],
  Kai Ellis [aut],
  Huayun Hou [aut],
  Anna Goldenberg [aut],
  Michael Wilson [aut]"
"38","densitr","Analysing Density Profiles from Resistance Drilling of Trees","10.32614/CRAN.package.densitr","R",2022-03-22,"https://cran.r-project.org/web/packages/densitr/index.html","https://cran.r-project.org/web/packages/densitr/vignettes","GPL-3",NA,"CRAN","Specialized analysis",2,"densitr. (2022). Analysing Density Profiles from Resistance Drilling of Trees. R package version 0.2. https://doi.org/10.32614/CRAN.package.densitr","Luka Krajnc [aut, cre] (ORCID: <https://orcid.org/0000-0002-3120-559X>),
  Stasia Grinberg [ctb]"
"39","DHS.rates","Calculates Demographic Indicators","10.32614/CRAN.package.DHS.rates","R",2024-01-11,"https://cran.r-project.org/web/packages/DHS.rates/index.html","https://cran.r-project.org/web/packages/DHS.rates/vignettes","GPL-2",NA,"CRAN","Specialized analysis",0,"DHS.rates. (2024). Calculates Demographic Indicators. R package version 0.9.2. https://doi.org/10.32614/CRAN.package.DHS.rates","Mahmoud Elkasabi"
"40","driveR","Prioritizing Cancer Driver Genes Using Genomics Data","10.32614/CRAN.package.driveR","R",2023-08-19,"https://cran.r-project.org/web/packages/driveR/index.html","https://cran.r-project.org/web/packages/driveR/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"driveR. (2023). Prioritizing Cancer Driver Genes Using Genomics Data. R package version 0.4.1. https://doi.org/10.32614/CRAN.package.driveR","Ege Ulgen [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-2090-3621>)"
"41","ebmc","Ensemble-Based Methods for Class Imbalance Problem","10.32614/CRAN.package.ebmc","R",2022-01-10,"https://cran.r-project.org/web/packages/ebmc/index.html","https://cran.r-project.org/web/packages/ebmc/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"ebmc. (2022). Ensemble-Based Methods for Class Imbalance Problem. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.ebmc","Hsiang Hao, Chen"
"42","ecostatscale","Statistical Scaling Functions for Ecological Systems","10.32614/CRAN.package.ecostatscale","R",2023-10-22,"https://cran.r-project.org/web/packages/ecostatscale/index.html","https://cran.r-project.org/web/packages/ecostatscale/vignettes","GPL-3",NA,"CRAN","Specialized analysis",0,"ecostatscale. (2023). Statistical Scaling Functions for Ecological Systems. R package version 1.1. https://doi.org/10.32614/CRAN.package.ecostatscale","Adam Clark [aut, cre] (ORCID: <https://orcid.org/0000-0002-8843-3278>)"
"43","eCV","Enhanced Coefficient of Variation and IDR Extensions for
Reproducibility Assessment","10.32614/CRAN.package.eCV","R",2024-01-19,"https://cran.r-project.org/web/packages/eCV/index.html","https://cran.r-project.org/web/packages/eCV/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"eCV. (2024). Enhanced Coefficient of Variation and IDR Extensions for
Reproducibility Assessment. R package version 0.0.2. https://doi.org/10.32614/CRAN.package.eCV","Agustin Gonzalez-Reymundez [aut, cre]"
"44","enveomics.R","Various Utilities for Microbial Genomics and Metagenomics","10.32614/CRAN.package.enveomics.R","R",2025-02-11,"https://cran.r-project.org/web/packages/enveomics.R/index.html","https://cran.r-project.org/web/packages/enveomics.R/vignettes","Artistic-2.0",NA,"CRAN","Metagenomics and community analysis",0,"enveomics.R. (2025). Various Utilities for Microbial Genomics and Metagenomics. R package version 1.10.0. https://doi.org/10.32614/CRAN.package.enveomics.R","Luis M. Rodriguez-R [aut, cre]"
"45","ExNRuleEnsemble","A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule","10.32614/CRAN.package.ExNRuleEnsemble","R",2022-12-19,"https://cran.r-project.org/web/packages/ExNRuleEnsemble/index.html","https://cran.r-project.org/web/packages/ExNRuleEnsemble/vignettes","GPL (>= 3)",NA,"CRAN","Specialized analysis",0,"ExNRuleEnsemble. (2022). A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ExNRuleEnsemble","Amjad Ali [aut, cre, cph],
  Muhammad Hamraz [aut],
  Saeed Aldahmani [aut],
  Zardad Khan [aut]"
"46","extractox","Extract Tox Info from Various Databases","10.32614/CRAN.package.extractox","R",2025-07-15,"https://cran.r-project.org/web/packages/extractox/index.html","https://cran.r-project.org/web/packages/extractox/vignettes","MIT + file LICENSE",NA,"CRAN","Specialized analysis",0,"extractox. (2025). Extract Tox Info from Various Databases. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.extractox","Claudio Zanettini [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0001-5043-8033>),
  Lucio Queiroz [aut] (ORCID: <https://orcid.org/0000-0002-6090-1834>)"
