name,author,summary,doi,citation,apa_citation,language,release_date,docs,tutorials,license,stars,source,Category,Citation_Count,readme_has_tags
BRACoD.R,"Adrian Verster [aut, cre]",BRACoD: Bayesian Regression Analysis of Compositional Data,10.32614/CRAN.package.BRACoD.R,BRACoD.R. (2022). BRACoD: Bayesian Regression Analysis of Compositional Data. R package version 0.0.2.0. https://doi.org/10.32614/CRAN.package.BRACoD.R,BRACoD.R. (2022). BRACoD: Bayesian Regression Analysis of Compositional Data. R package version 0.0.2.0. https://doi.org/10.32614/CRAN.package.BRACoD.R,R,2022-03-24,https://cran.r-project.org/web/packages/BRACoD.R/index.html,https://cran.r-project.org/web/packages/BRACoD.R/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
breakaway,"Amy D Willis [aut, cre],
  Bryan D Martin [aut],
  Pauline Trinh [aut],
  Sarah Teichman [aut],
  David Clausen [aut],
  Kathryn Barger [aut],
  John Bunge [aut]",Species Richness Estimation and Modeling,10.32614/CRAN.package.breakaway,breakaway. (2022). Species Richness Estimation and Modeling. R package version 4.8.4. https://doi.org/10.32614/CRAN.package.breakaway,breakaway. (2022). Species Richness Estimation and Modeling. R package version 4.8.4. https://doi.org/10.32614/CRAN.package.breakaway,R,2022-11-22,https://cran.r-project.org/web/packages/breakaway/index.html,https://cran.r-project.org/web/packages/breakaway/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
bws,"Phuc H. Nguyen [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6206-0194>)",Bayesian Weighted Sums,10.32614/CRAN.package.bws,bws. (2022). Bayesian Weighted Sums. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.bws,bws. (2022). Bayesian Weighted Sums. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.bws,R,2022-08-12,https://cran.r-project.org/web/packages/bws/index.html,https://cran.r-project.org/web/packages/bws/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
CausCor,"Tomomi Sugiyama [aut, cre]",Calculate Correlations and Estimate Causality,10.32614/CRAN.package.CausCor,CausCor. (2023). Calculate Correlations and Estimate Causality. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.CausCor,CausCor. (2023). Calculate Correlations and Estimate Causality. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.CausCor,R,2023-11-10,https://cran.r-project.org/web/packages/CausCor/index.html,https://cran.r-project.org/web/packages/CausCor/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
ccmm,Michael B. Sohn,Compositional Mediation Model,10.32614/CRAN.package.ccmm,ccmm. (2017). Compositional Mediation Model. R package version 1.0. https://doi.org/10.32614/CRAN.package.ccmm,ccmm. (2017). Compositional Mediation Model. R package version 1.0. https://doi.org/10.32614/CRAN.package.ccmm,R,2017-08-28,https://cran.r-project.org/web/packages/ccmm/index.html,https://cran.r-project.org/web/packages/ccmm/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
chem16S,"Jeffrey Dick [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-0687-5890>)",Chemical Metrics for Microbial Communities,10.32614/CRAN.package.chem16S,chem16S. (2025). Chemical Metrics for Microbial Communities. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.chem16S,chem16S. (2025). Chemical Metrics for Microbial Communities. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.chem16S,R,2025-01-16,https://cran.r-project.org/web/packages/chem16S/index.html,https://cran.r-project.org/web/packages/chem16S/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
CleaningValidation,"Mohamed Chan [aut],
  Wendy Lou [aut],
  Xiande Yang [aut, cre]","Cleaning Validation Functions for Pharmaceutical Cleaning
Process",10.32614/CRAN.package.CleaningValidation,"CleaningValidation. (2024). Cleaning Validation Functions for Pharmaceutical Cleaning
Process. R package version 1.0. https://doi.org/10.32614/CRAN.package.CleaningValidation","CleaningValidation. (2024). Cleaning Validation Functions for Pharmaceutical Cleaning
Process. R package version 1.0. https://doi.org/10.32614/CRAN.package.CleaningValidation",R,2024-05-17,https://cran.r-project.org/web/packages/CleaningValidation/index.html,https://cran.r-project.org/web/packages/CleaningValidation/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
coda4microbiome,"Malu Calle [aut] (ORCID: <https://orcid.org/0000-0001-9334-415X>),
  Toni Susin [aut, cre] (ORCID: <https://orcid.org/0000-0002-0874-2784>),
  Meritxell Pujolassos [aut] (ORCID:
    <https://orcid.org/0000-0003-0313-3506>)",Compositional Data Analysis for Microbiome Studies,10.32614/CRAN.package.coda4microbiome,coda4microbiome. (2024). Compositional Data Analysis for Microbiome Studies. R package version 0.2.4. https://doi.org/10.32614/CRAN.package.coda4microbiome,coda4microbiome. (2024). Compositional Data Analysis for Microbiome Studies. R package version 0.2.4. https://doi.org/10.32614/CRAN.package.coda4microbiome,R,2024-07-17,https://cran.r-project.org/web/packages/coda4microbiome/index.html,https://cran.r-project.org/web/packages/coda4microbiome/vignettes,NA,NA,CRAN,Metagenomics and community analysis,0,NA
CoDaLoMic,"Irene Creus Martí [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-7962-4478>)",Compositional Models to Longitudinal Microbiome Data,10.32614/CRAN.package.CoDaLoMic,CoDaLoMic. (2025). Compositional Models to Longitudinal Microbiome Data. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.CoDaLoMic,CoDaLoMic. (2025). Compositional Models to Longitudinal Microbiome Data. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.CoDaLoMic,R,2025-06-13,https://cran.r-project.org/web/packages/CoDaLoMic/index.html,https://cran.r-project.org/web/packages/CoDaLoMic/vignettes,NA,NA,CRAN,Metagenomics and community analysis,0,NA
colorednoise,"July Pilowsky [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6376-2585>)",Simulate Temporally Autocorrelated Populations,10.32614/CRAN.package.colorednoise,colorednoise. (2024). Simulate Temporally Autocorrelated Populations. R package version 1.1.2. https://doi.org/10.32614/CRAN.package.colorednoise,colorednoise. (2024). Simulate Temporally Autocorrelated Populations. R package version 1.1.2. https://doi.org/10.32614/CRAN.package.colorednoise,R,2024-02-28,https://cran.r-project.org/web/packages/colorednoise/index.html,https://cran.r-project.org/web/packages/colorednoise/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
CoreMicrobiomeR,"Sorna A M [aut],
  Mohammad Samir Farooqi [aut, cre],
  Dwijesh Chandra Mishra [aut],
  Krishna Kumar Chaturvedi [aut],
  Anu Sharma [aut],
  Prawin Arya [aut],
  Sudhir Srivastava [aut],
  Sharanbasappa [aut],
  Girish Kumar Jha [aut],
  Kabilan S [ctb]",Identification of Core Microbiome,10.32614/CRAN.package.CoreMicrobiomeR,CoreMicrobiomeR. (2024). Identification of Core Microbiome. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.CoreMicrobiomeR,CoreMicrobiomeR. (2024). Identification of Core Microbiome. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.CoreMicrobiomeR,R,2024-04-03,https://cran.r-project.org/web/packages/CoreMicrobiomeR/index.html,https://cran.r-project.org/web/packages/CoreMicrobiomeR/vignettes,NA,NA,CRAN,Metagenomics and community analysis,0,NA
CSESA,"Xia Zhang [aut, cre],
  Lang Yang [aut]",CRISPR-Based Salmonella Enterica Serotype Analyzer,10.32614/CRAN.package.CSESA,CSESA. (2019). CRISPR-Based Salmonella Enterica Serotype Analyzer. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.CSESA,CSESA. (2019). CRISPR-Based Salmonella Enterica Serotype Analyzer. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.CSESA,R,2019-03-03,https://cran.r-project.org/web/packages/CSESA/index.html,https://cran.r-project.org/web/packages/CSESA/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
cuperdec,"James A. Fellows Yates [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-5585-6277>)",Cumulative Percent Decay Curve Generator,10.32614/CRAN.package.cuperdec,cuperdec. (2021). Cumulative Percent Decay Curve Generator. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.cuperdec,cuperdec. (2021). Cumulative Percent Decay Curve Generator. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.cuperdec,R,2021-09-12,https://cran.r-project.org/web/packages/cuperdec/index.html,https://cran.r-project.org/web/packages/cuperdec/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
deepredeff,"Ruth Kristianingsih [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-1873-6203>)",Deep Learning Prediction of Effectors,10.32614/CRAN.package.deepredeff,deepredeff. (2021). Deep Learning Prediction of Effectors. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.deepredeff,deepredeff. (2021). Deep Learning Prediction of Effectors. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.deepredeff,R,2021-07-16,https://cran.r-project.org/web/packages/deepredeff/index.html,https://cran.r-project.org/web/packages/deepredeff/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
DHS.rates,Mahmoud Elkasabi,Calculates Demographic Indicators,10.32614/CRAN.package.DHS.rates,DHS.rates. (2024). Calculates Demographic Indicators. R package version 0.9.2. https://doi.org/10.32614/CRAN.package.DHS.rates,DHS.rates. (2024). Calculates Demographic Indicators. R package version 0.9.2. https://doi.org/10.32614/CRAN.package.DHS.rates,R,2024-01-11,https://cran.r-project.org/web/packages/DHS.rates/index.html,https://cran.r-project.org/web/packages/DHS.rates/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
ebmc,"Hsiang Hao, Chen",Ensemble-Based Methods for Class Imbalance Problem,10.32614/CRAN.package.ebmc,ebmc. (2022). Ensemble-Based Methods for Class Imbalance Problem. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.ebmc,ebmc. (2022). Ensemble-Based Methods for Class Imbalance Problem. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.ebmc,R,2022-01-10,https://cran.r-project.org/web/packages/ebmc/index.html,https://cran.r-project.org/web/packages/ebmc/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
enveomics.R,"Luis M. Rodriguez-R [aut, cre]",Various Utilities for Microbial Genomics and Metagenomics,10.32614/CRAN.package.enveomics.R,enveomics.R. (2025). Various Utilities for Microbial Genomics and Metagenomics. R package version 1.10.0. https://doi.org/10.32614/CRAN.package.enveomics.R,enveomics.R. (2025). Various Utilities for Microbial Genomics and Metagenomics. R package version 1.10.0. https://doi.org/10.32614/CRAN.package.enveomics.R,R,2025-02-11,https://cran.r-project.org/web/packages/enveomics.R/index.html,https://cran.r-project.org/web/packages/enveomics.R/vignettes,NA,NA,CRAN,Metagenomics and community analysis,0,NA
ExNRuleEnsemble,"Amjad Ali [aut, cre, cph],
  Muhammad Hamraz [aut],
  Saeed Aldahmani [aut],
  Zardad Khan [aut]","A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule",10.32614/CRAN.package.ExNRuleEnsemble,"ExNRuleEnsemble. (2022). A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ExNRuleEnsemble","ExNRuleEnsemble. (2022). A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ExNRuleEnsemble",R,2022-12-19,https://cran.r-project.org/web/packages/ExNRuleEnsemble/index.html,https://cran.r-project.org/web/packages/ExNRuleEnsemble/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
FAVA,"Maike Morrison [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-0430-1401>)","Quantify Compositional Variability Across Relative Abundance
Vectors",10.32614/CRAN.package.FAVA,"FAVA. (2025). Quantify Compositional Variability Across Relative Abundance
Vectors. R package version 1.0.9. https://doi.org/10.32614/CRAN.package.FAVA","FAVA. (2025). Quantify Compositional Variability Across Relative Abundance
Vectors. R package version 1.0.9. https://doi.org/10.32614/CRAN.package.FAVA",R,2025-03-27,https://cran.r-project.org/web/packages/FAVA/index.html,https://cran.r-project.org/web/packages/FAVA/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
file2meco,"Chi Liu [aut, cre]",Transform Files to 'microtable' Object with 'microeco' Package,10.32614/CRAN.package.file2meco,file2meco. (2024). Transform Files to 'microtable' Object with 'microeco' Package. R package version 0.9.1. https://doi.org/10.32614/CRAN.package.file2meco,file2meco. (2024). Transform Files to 'microtable' Object with 'microeco' Package. R package version 0.9.1. https://doi.org/10.32614/CRAN.package.file2meco,R,2024-11-19,https://cran.r-project.org/web/packages/file2meco/index.html,https://cran.r-project.org/web/packages/file2meco/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
flamingos,"Faicel Chamroukhi [aut] (ORCID:
    <https://orcid.org/0000-0002-5894-3103>),
  Florian Lecocq [aut, trl, cre] (R port),
  Marius Bartcus [aut, trl] (R port)","Functional Latent Data Models for Clustering Heterogeneous
Curves ('FLaMingos')",10.32614/CRAN.package.flamingos,"flamingos. (2019). Functional Latent Data Models for Clustering Heterogeneous
Curves ('FLaMingos'). R package version 0.1.0. https://doi.org/10.32614/CRAN.package.flamingos","flamingos. (2019). Functional Latent Data Models for Clustering Heterogeneous
Curves ('FLaMingos'). R package version 0.1.0. https://doi.org/10.32614/CRAN.package.flamingos",R,2019-08-06,https://cran.r-project.org/web/packages/flamingos/index.html,https://cran.r-project.org/web/packages/flamingos/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
FuncDiv,"Gavin Douglas [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-5164-6707>)",Compute Contributional Diversity Metrics,10.32614/CRAN.package.FuncDiv,FuncDiv. (2023). Compute Contributional Diversity Metrics. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.FuncDiv,FuncDiv. (2023). Compute Contributional Diversity Metrics. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.FuncDiv,R,2023-03-08,https://cran.r-project.org/web/packages/FuncDiv/index.html,https://cran.r-project.org/web/packages/FuncDiv/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
GAMens,"Koen W. De Bock, Kristof Coussement and Dirk Van den Poel","Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for
Binary Classification",10.32614/CRAN.package.GAMens,"GAMens. (2018). Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for
Binary Classification. R package version 1.2.1. https://doi.org/10.32614/CRAN.package.GAMens","GAMens. (2018). Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for
Binary Classification. R package version 1.2.1. https://doi.org/10.32614/CRAN.package.GAMens",R,2018-04-05,https://cran.r-project.org/web/packages/GAMens/index.html,https://cran.r-project.org/web/packages/GAMens/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
gclink,"Liuyang Li [aut, cre] (ORCID: <https://orcid.org/0000-0001-6004-9437>)","Gene-Cluster Discovery, Annotation and Visualization",10.32614/CRAN.package.gclink,"gclink. (2025). Gene-Cluster Discovery, Annotation and Visualization. R package version 1.1. https://doi.org/10.32614/CRAN.package.gclink","gclink. (2025). Gene-Cluster Discovery, Annotation and Visualization. R package version 1.1. https://doi.org/10.32614/CRAN.package.gclink",R,2025-09-02,https://cran.r-project.org/web/packages/gclink/index.html,https://cran.r-project.org/web/packages/gclink/vignettes,NA,NA,CRAN,Visualization Tools,0,NA
gcplyr,"Mike Blazanin [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-4630-6235>)",Wrangle and Analyze Growth Curve Data,10.32614/CRAN.package.gcplyr,gcplyr. (2025). Wrangle and Analyze Growth Curve Data. R package version 1.12.0. https://doi.org/10.32614/CRAN.package.gcplyr,gcplyr. (2025). Wrangle and Analyze Growth Curve Data. R package version 1.12.0. https://doi.org/10.32614/CRAN.package.gcplyr,R,2025-07-29,https://cran.r-project.org/web/packages/gcplyr/index.html,https://cran.r-project.org/web/packages/gcplyr/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
ggalign,"Yun Peng [aut, cre] (ORCID: <https://orcid.org/0000-0003-2801-3332>),
  Shixiang Wang [aut] (ORCID: <https://orcid.org/0000-0001-9855-7357>),
  Guangchuang Yu [ths] (ORCID: <https://orcid.org/0000-0002-6485-8781>)",A 'ggplot2' Extension for Composable Visualization,10.32614/CRAN.package.ggalign,ggalign. (2025). A 'ggplot2' Extension for Composable Visualization. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.ggalign,ggalign. (2025). A 'ggplot2' Extension for Composable Visualization. R package version 1.1.0. https://doi.org/10.32614/CRAN.package.ggalign,R,2025-09-11,https://cran.r-project.org/web/packages/ggalign/index.html,https://cran.r-project.org/web/packages/ggalign/vignettes,NA,NA,CRAN,Visualization Tools,2,NA
ggpicrust2,"Chen Yang [aut, cre],
  Liangliang Zhang [aut]",Make 'PICRUSt2' Output Analysis and Visualization Easier,10.32614/CRAN.package.ggpicrust2,ggpicrust2. (2025). Make 'PICRUSt2' Output Analysis and Visualization Easier. R package version 2.5.2. https://doi.org/10.32614/CRAN.package.ggpicrust2,ggpicrust2. (2025). Make 'PICRUSt2' Output Analysis and Visualization Easier. R package version 2.5.2. https://doi.org/10.32614/CRAN.package.ggpicrust2,R,2025-08-25,https://cran.r-project.org/web/packages/ggpicrust2/index.html,https://cran.r-project.org/web/packages/ggpicrust2/vignettes,NA,NA,CRAN,Visualization Tools,0,NA
Greymodels,"Jahajeeah Havisha [aut, cre],
  Saib Aslam Aly [aut]",Shiny App for Grey Forecasting Model,10.32614/CRAN.package.Greymodels,Greymodels. (2022). Shiny App for Grey Forecasting Model. R package version 2.0.1. https://doi.org/10.32614/CRAN.package.Greymodels,Greymodels. (2022). Shiny App for Grey Forecasting Model. R package version 2.0.1. https://doi.org/10.32614/CRAN.package.Greymodels,R,2022-12-05,https://cran.r-project.org/web/packages/Greymodels/index.html,https://cran.r-project.org/web/packages/Greymodels/vignettes,NA,NA,CRAN,Specialized analysis,0,NA
growthcurver,"Kathleen Sprouffske [aut, cre]",Simple Metrics to Summarize Growth Curves,10.32614/CRAN.package.growthcurver,growthcurver. (2020). Simple Metrics to Summarize Growth Curves. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.growthcurver,growthcurver. (2020). Simple Metrics to Summarize Growth Curves. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.growthcurver,R,2020-10-19,https://cran.r-project.org/web/packages/growthcurver/index.html,https://cran.r-project.org/web/packages/growthcurver/vignettes,NA,NA,CRAN,Specialized analysis,1,NA
