name,summary,doi,author,apa_citation,language,release_date,docs,tutorials,license,stars,source,Category,Citation_Count
bioinactivation,Mathematical Modelling of (Dynamic) Microbial Inactivation,10.32614/CRAN.package.bioinactivation,"Alberto Garre [aut, cre],
  Pablo S. Fernandez [aut],
  Jose A. Egea [aut]",bioinactivation. (2025). Mathematical Modelling of (Dynamic) Microbial Inactivation. R package version 1.3.0. https://doi.org/10.32614/CRAN.package.bioinactivation,R,2025-04-06,https://cran.r-project.org/web/packages/bioinactivation/index.html,https://cran.r-project.org/web/packages/bioinactivation/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
BRACoD.R,BRACoD: Bayesian Regression Analysis of Compositional Data,10.32614/CRAN.package.BRACoD.R,"Adrian Verster [aut, cre]",BRACoD.R. (2022). BRACoD: Bayesian Regression Analysis of Compositional Data. R package version 0.0.2.0. https://doi.org/10.32614/CRAN.package.BRACoD.R,R,2022-03-24,https://cran.r-project.org/web/packages/BRACoD.R/index.html,https://cran.r-project.org/web/packages/BRACoD.R/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
breakaway,Species Richness Estimation and Modeling,10.32614/CRAN.package.breakaway,"Amy D Willis [aut, cre],
  Bryan D Martin [aut],
  Pauline Trinh [aut],
  Sarah Teichman [aut],
  David Clausen [aut],
  Kathryn Barger [aut],
  John Bunge [aut]",breakaway. (2022). Species Richness Estimation and Modeling. R package version 4.8.4. https://doi.org/10.32614/CRAN.package.breakaway,R,2022-11-22,https://cran.r-project.org/web/packages/breakaway/index.html,https://cran.r-project.org/web/packages/breakaway/vignettes,GPL-2,NA,CRAN,Specialized analysis,1
bws,Bayesian Weighted Sums,10.32614/CRAN.package.bws,"Phuc H. Nguyen [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6206-0194>)",bws. (2022). Bayesian Weighted Sums. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.bws,R,2022-08-12,https://cran.r-project.org/web/packages/bws/index.html,https://cran.r-project.org/web/packages/bws/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,1
CausCor,Calculate Correlations and Estimate Causality,10.32614/CRAN.package.CausCor,"Tomomi Sugiyama [aut, cre]",CausCor. (2023). Calculate Correlations and Estimate Causality. R package version 0.1.3. https://doi.org/10.32614/CRAN.package.CausCor,R,2023-11-10,https://cran.r-project.org/web/packages/CausCor/index.html,https://cran.r-project.org/web/packages/CausCor/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
ccmm,Compositional Mediation Model,10.32614/CRAN.package.ccmm,Michael B. Sohn,ccmm. (2017). Compositional Mediation Model. R package version 1.0. https://doi.org/10.32614/CRAN.package.ccmm,R,2017-08-28,https://cran.r-project.org/web/packages/ccmm/index.html,https://cran.r-project.org/web/packages/ccmm/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,0
chem16S,Chemical Metrics for Microbial Communities,10.32614/CRAN.package.chem16S,"Jeffrey Dick [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-0687-5890>)",chem16S. (2025). Chemical Metrics for Microbial Communities. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.chem16S,R,2025-01-16,https://cran.r-project.org/web/packages/chem16S/index.html,https://cran.r-project.org/web/packages/chem16S/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
CleaningValidation,"Cleaning Validation Functions for Pharmaceutical Cleaning
Process",10.32614/CRAN.package.CleaningValidation,"Mohamed Chan [aut],
  Wendy Lou [aut],
  Xiande Yang [aut, cre]","CleaningValidation. (2024). Cleaning Validation Functions for Pharmaceutical Cleaning
Process. R package version 1.0. https://doi.org/10.32614/CRAN.package.CleaningValidation",R,2024-05-17,https://cran.r-project.org/web/packages/CleaningValidation/index.html,https://cran.r-project.org/web/packages/CleaningValidation/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
coda4microbiome,Compositional Data Analysis for Microbiome Studies,10.32614/CRAN.package.coda4microbiome,"Malu Calle [aut] (ORCID: <https://orcid.org/0000-0001-9334-415X>),
  Toni Susin [aut, cre] (ORCID: <https://orcid.org/0000-0002-0874-2784>),
  Meritxell Pujolassos [aut] (ORCID:
    <https://orcid.org/0000-0003-0313-3506>)",coda4microbiome. (2024). Compositional Data Analysis for Microbiome Studies. R package version 0.2.4. https://doi.org/10.32614/CRAN.package.coda4microbiome,R,2024-07-17,https://cran.r-project.org/web/packages/coda4microbiome/index.html,https://cran.r-project.org/web/packages/coda4microbiome/vignettes,MIT + file LICENSE,NA,CRAN,Metagenomics and community analysis,0
CoDaLoMic,Compositional Models to Longitudinal Microbiome Data,10.32614/CRAN.package.CoDaLoMic,"Irene Creus Martí [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-7962-4478>)",CoDaLoMic. (2025). Compositional Models to Longitudinal Microbiome Data. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.CoDaLoMic,R,2025-06-13,https://cran.r-project.org/web/packages/CoDaLoMic/index.html,https://cran.r-project.org/web/packages/CoDaLoMic/vignettes,GPL-3,NA,CRAN,Metagenomics and community analysis,0
colorednoise,Simulate Temporally Autocorrelated Populations,10.32614/CRAN.package.colorednoise,"July Pilowsky [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-6376-2585>)",colorednoise. (2024). Simulate Temporally Autocorrelated Populations. R package version 1.1.2. https://doi.org/10.32614/CRAN.package.colorednoise,R,2024-02-28,https://cran.r-project.org/web/packages/colorednoise/index.html,https://cran.r-project.org/web/packages/colorednoise/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
CoreMicrobiomeR,Identification of Core Microbiome,10.32614/CRAN.package.CoreMicrobiomeR,"Sorna A M [aut],
  Mohammad Samir Farooqi [aut, cre],
  Dwijesh Chandra Mishra [aut],
  Krishna Kumar Chaturvedi [aut],
  Anu Sharma [aut],
  Prawin Arya [aut],
  Sudhir Srivastava [aut],
  Sharanbasappa [aut],
  Girish Kumar Jha [aut],
  Kabilan S [ctb]",CoreMicrobiomeR. (2024). Identification of Core Microbiome. R package version 0.1.0. https://doi.org/10.32614/CRAN.package.CoreMicrobiomeR,R,2024-04-03,https://cran.r-project.org/web/packages/CoreMicrobiomeR/index.html,https://cran.r-project.org/web/packages/CoreMicrobiomeR/vignettes,GPL-3,NA,CRAN,Metagenomics and community analysis,0
CSESA,CRISPR-Based Salmonella Enterica Serotype Analyzer,10.32614/CRAN.package.CSESA,"Xia Zhang [aut, cre],
  Lang Yang [aut]",CSESA. (2019). CRISPR-Based Salmonella Enterica Serotype Analyzer. R package version 1.2.0. https://doi.org/10.32614/CRAN.package.CSESA,R,2019-03-03,https://cran.r-project.org/web/packages/CSESA/index.html,https://cran.r-project.org/web/packages/CSESA/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,0
ddiv,Data Driven I-v Feature Extraction,10.32614/CRAN.package.ddiv,"Wei-Heng Huang [aut] (ORCID: <https://orcid.org/0000-0002-6609-4981>),
  Xuan Ma [aut] (ORCID: <https://orcid.org/0000-0003-2361-2846>),
  Jiqi Liu [aut] (ORCID: <https://orcid.org/0000-0003-2016-4160>),
  Menghong Wang [ctb] (ORCID: <https://orcid.org/0000-0001-7349-699X>),
  Alan J. Curran [ctb] (ORCID: <https://orcid.org/0000-0002-4505-8359>),
  Justin S. Fada [ctb] (ORCID: <https://orcid.org/0000-0002-0029-5051>),
  Jean-Nicolas Jaubert [ctb] (ORCID:
    <https://orcid.org/0000-0002-9663-6999>),
  Jing Sun [ctb] (ORCID: <https://orcid.org/0000-0002-4313-2316>),
  Jennifer L. Braid [ctb] (ORCID:
    <https://orcid.org/0000-0002-0677-7756>),
  Jenny Brynjarsdottir [ctb] (ORCID:
    <https://orcid.org/0000-0003-1859-4962>),
  Roger H. French [aut, cph] (ORCID:
    <https://orcid.org/0000-0002-6162-0532>),
  Megan M. Morbitzer [ctb, cre] (ORCID:
    <https://orcid.org/0000-0002-9847-2350>)",ddiv. (2021). Data Driven I-v Feature Extraction. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ddiv,R,2021-04-14,https://cran.r-project.org/web/packages/ddiv/index.html,https://cran.r-project.org/web/packages/ddiv/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,5
deepredeff,Deep Learning Prediction of Effectors,10.32614/CRAN.package.deepredeff,"Ruth Kristianingsih [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-1873-6203>)",deepredeff. (2021). Deep Learning Prediction of Effectors. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.deepredeff,R,2021-07-16,https://cran.r-project.org/web/packages/deepredeff/index.html,https://cran.r-project.org/web/packages/deepredeff/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
densitr,Analysing Density Profiles from Resistance Drilling of Trees,10.32614/CRAN.package.densitr,"Luka Krajnc [aut, cre] (ORCID: <https://orcid.org/0000-0002-3120-559X>),
  Stasia Grinberg [ctb]",densitr. (2022). Analysing Density Profiles from Resistance Drilling of Trees. R package version 0.2. https://doi.org/10.32614/CRAN.package.densitr,R,2022-03-22,https://cran.r-project.org/web/packages/densitr/index.html,https://cran.r-project.org/web/packages/densitr/vignettes,GPL-3,NA,CRAN,Specialized analysis,2
DHS.rates,Calculates Demographic Indicators,10.32614/CRAN.package.DHS.rates,Mahmoud Elkasabi,DHS.rates. (2024). Calculates Demographic Indicators. R package version 0.9.2. https://doi.org/10.32614/CRAN.package.DHS.rates,R,2024-01-11,https://cran.r-project.org/web/packages/DHS.rates/index.html,https://cran.r-project.org/web/packages/DHS.rates/vignettes,GPL-2,NA,CRAN,Specialized analysis,0
ebmc,Ensemble-Based Methods for Class Imbalance Problem,10.32614/CRAN.package.ebmc,"Hsiang Hao, Chen",ebmc. (2022). Ensemble-Based Methods for Class Imbalance Problem. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.ebmc,R,2022-01-10,https://cran.r-project.org/web/packages/ebmc/index.html,https://cran.r-project.org/web/packages/ebmc/vignettes,GPL (>= 3),NA,CRAN,Specialized analysis,0
ecostatscale,Statistical Scaling Functions for Ecological Systems,10.32614/CRAN.package.ecostatscale,"Adam Clark [aut, cre] (ORCID: <https://orcid.org/0000-0002-8843-3278>)",ecostatscale. (2023). Statistical Scaling Functions for Ecological Systems. R package version 1.1. https://doi.org/10.32614/CRAN.package.ecostatscale,R,2023-10-22,https://cran.r-project.org/web/packages/ecostatscale/index.html,https://cran.r-project.org/web/packages/ecostatscale/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
enveomics.R,Various Utilities for Microbial Genomics and Metagenomics,10.32614/CRAN.package.enveomics.R,"Luis M. Rodriguez-R [aut, cre]",enveomics.R. (2025). Various Utilities for Microbial Genomics and Metagenomics. R package version 1.10.0. https://doi.org/10.32614/CRAN.package.enveomics.R,R,2025-02-11,https://cran.r-project.org/web/packages/enveomics.R/index.html,https://cran.r-project.org/web/packages/enveomics.R/vignettes,Artistic-2.0,NA,CRAN,Metagenomics and community analysis,0
ExNRuleEnsemble,"A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule",10.32614/CRAN.package.ExNRuleEnsemble,"Amjad Ali [aut, cre, cph],
  Muhammad Hamraz [aut],
  Saeed Aldahmani [aut],
  Zardad Khan [aut]","ExNRuleEnsemble. (2022). A k Nearest Neibour Ensemble Based on Extended Neighbourhood
Rule. R package version 0.1.1. https://doi.org/10.32614/CRAN.package.ExNRuleEnsemble",R,2022-12-19,https://cran.r-project.org/web/packages/ExNRuleEnsemble/index.html,https://cran.r-project.org/web/packages/ExNRuleEnsemble/vignettes,GPL (>= 3),NA,CRAN,Specialized analysis,0
ezec,Easy Interface to Effective Concentration Calculations,10.32614/CRAN.package.ezec,"Zhian N. Kamvar [cre, aut],
  Niklaus J. Grunwald [ths, ctb]",ezec. (2016). Easy Interface to Effective Concentration Calculations. R package version 1.0.1. https://doi.org/10.32614/CRAN.package.ezec,R,2016-12-05,https://cran.r-project.org/web/packages/ezec/index.html,https://cran.r-project.org/web/packages/ezec/vignettes,GPL-3,NA,CRAN,Specialized analysis,3
FAVA,"Quantify Compositional Variability Across Relative Abundance
Vectors",10.32614/CRAN.package.FAVA,"Maike Morrison [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-0430-1401>)","FAVA. (2025). Quantify Compositional Variability Across Relative Abundance
Vectors. R package version 1.0.9. https://doi.org/10.32614/CRAN.package.FAVA",R,2025-03-27,https://cran.r-project.org/web/packages/FAVA/index.html,https://cran.r-project.org/web/packages/FAVA/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
file2meco,Transform Files to 'microtable' Object with 'microeco' Package,10.32614/CRAN.package.file2meco,"Chi Liu [aut, cre]",file2meco. (2024). Transform Files to 'microtable' Object with 'microeco' Package. R package version 0.9.1. https://doi.org/10.32614/CRAN.package.file2meco,R,2024-11-19,https://cran.r-project.org/web/packages/file2meco/index.html,https://cran.r-project.org/web/packages/file2meco/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
flamingos,"Functional Latent Data Models for Clustering Heterogeneous
Curves ('FLaMingos')",10.32614/CRAN.package.flamingos,"Faicel Chamroukhi [aut] (ORCID:
    <https://orcid.org/0000-0002-5894-3103>),
  Florian Lecocq [aut, trl, cre] (R port),
  Marius Bartcus [aut, trl] (R port)","flamingos. (2019). Functional Latent Data Models for Clustering Heterogeneous
Curves ('FLaMingos'). R package version 0.1.0. https://doi.org/10.32614/CRAN.package.flamingos",R,2019-08-06,https://cran.r-project.org/web/packages/flamingos/index.html,https://cran.r-project.org/web/packages/flamingos/vignettes,GPL (>= 3),NA,CRAN,Specialized analysis,0
FuncDiv,Compute Contributional Diversity Metrics,10.32614/CRAN.package.FuncDiv,"Gavin Douglas [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-5164-6707>)",FuncDiv. (2023). Compute Contributional Diversity Metrics. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.FuncDiv,R,2023-03-08,https://cran.r-project.org/web/packages/FuncDiv/index.html,https://cran.r-project.org/web/packages/FuncDiv/vignettes,AGPL-3,NA,CRAN,Specialized analysis,0
GAMens,"Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for
Binary Classification",10.32614/CRAN.package.GAMens,"Koen W. De Bock, Kristof Coussement and Dirk Van den Poel","GAMens. (2018). Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for
Binary Classification. R package version 1.2.1. https://doi.org/10.32614/CRAN.package.GAMens",R,2018-04-05,https://cran.r-project.org/web/packages/GAMens/index.html,https://cran.r-project.org/web/packages/GAMens/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,0
gcplyr,Wrangle and Analyze Growth Curve Data,10.32614/CRAN.package.gcplyr,"Mike Blazanin [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-4630-6235>)",gcplyr. (2025). Wrangle and Analyze Growth Curve Data. R package version 1.12.0. https://doi.org/10.32614/CRAN.package.gcplyr,R,2025-07-29,https://cran.r-project.org/web/packages/gcplyr/index.html,https://cran.r-project.org/web/packages/gcplyr/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
ggalign,A 'ggplot2' Extension for Consistent Axis Alignment,10.32614/CRAN.package.ggalign,"Yun Peng [aut, cre] (ORCID: <https://orcid.org/0000-0003-2801-3332>),
  Shixiang Wang [aut] (ORCID: <https://orcid.org/0000-0001-9855-7357>),
  Guangchuang Yu [ths] (ORCID: <https://orcid.org/0000-0002-6485-8781>)",ggalign. (2025). A 'ggplot2' Extension for Consistent Axis Alignment. R package version 1.0.2. https://doi.org/10.32614/CRAN.package.ggalign,R,2025-05-14,https://cran.r-project.org/web/packages/ggalign/index.html,https://cran.r-project.org/web/packages/ggalign/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
ggpicrust2,Make 'PICRUSt2' Output Analysis and Visualization Easier,10.32614/CRAN.package.ggpicrust2,"Chen Yang [aut, cre],
  Liangliang Zhang [aut]",ggpicrust2. (2025). Make 'PICRUSt2' Output Analysis and Visualization Easier. R package version 2.3.2. https://doi.org/10.32614/CRAN.package.ggpicrust2,R,2025-07-16,https://cran.r-project.org/web/packages/ggpicrust2/index.html,https://cran.r-project.org/web/packages/ggpicrust2/vignettes,MIT + file LICENSE,NA,CRAN,Visualization Tools,0
grainscape,"Landscape Connectivity, Habitat, and Protected Area Networks",10.32614/CRAN.package.grainscape,"Paul Galpern [aut, cph] (ORCID:
    <https://orcid.org/0000-0003-0099-3981>),
  Sam Doctolero [aut],
  Alex M Chubaty [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-7146-8135>)","grainscape. (2025). Landscape Connectivity, Habitat, and Protected Area Networks. R package version 0.5.0. https://doi.org/10.32614/CRAN.package.grainscape",R,2025-01-15,https://cran.r-project.org/web/packages/grainscape/index.html,https://cran.r-project.org/web/packages/grainscape/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,0
Greymodels,Shiny App for Grey Forecasting Model,10.32614/CRAN.package.Greymodels,"Jahajeeah Havisha [aut, cre],
  Saib Aslam Aly [aut]",Greymodels. (2022). Shiny App for Grey Forecasting Model. R package version 2.0.1. https://doi.org/10.32614/CRAN.package.Greymodels,R,2022-12-05,https://cran.r-project.org/web/packages/Greymodels/index.html,https://cran.r-project.org/web/packages/Greymodels/vignettes,GPL-3,NA,CRAN,Specialized analysis,0
growthcurver,Simple Metrics to Summarize Growth Curves,10.32614/CRAN.package.growthcurver,"Kathleen Sprouffske [aut, cre]",growthcurver. (2020). Simple Metrics to Summarize Growth Curves. R package version 0.3.1. https://doi.org/10.32614/CRAN.package.growthcurver,R,2020-10-19,https://cran.r-project.org/web/packages/growthcurver/index.html,https://cran.r-project.org/web/packages/growthcurver/vignettes,GPL (>= 2),NA,CRAN,Specialized analysis,1
gtexture,"Generalized Application of Co-Occurrence Matrices and Haralick
Texture",10.32614/CRAN.package.gtexture,"Rowan Barker-Clarke [aut, cre] (ORCID:
    <https://orcid.org/0000-0003-1961-7919>),
  Raoul Wadhwa [aut] (ORCID: <https://orcid.org/0000-0003-0503-9580>),
  Davis Weaver [aut],
  Jacob Scott [aut] (ORCID: <https://orcid.org/0000-0003-2971-7673>)","gtexture. (2024). Generalized Application of Co-Occurrence Matrices and Haralick
Texture. R package version 1.0.0. https://doi.org/10.32614/CRAN.package.gtexture",R,2024-04-08,https://cran.r-project.org/web/packages/gtexture/index.html,https://cran.r-project.org/web/packages/gtexture/vignettes,MIT + file LICENSE,NA,CRAN,Specialized analysis,0
GUniFrac,"Generalized UniFrac Distances, Distance-Based Multivariate
Methods and Feature-Based Univariate Methods for Microbiome
Data Analysis",10.32614/CRAN.package.GUniFrac,"Jun Chen, Xianyang Zhang, Lu Yang, Lujun Zhang","GUniFrac. (2023). Generalized UniFrac Distances, Distance-Based Multivariate
Methods and Feature-Based Univariate Methods for Microbiome
Data Analysis. R package version 1.8. https://doi.org/10.32614/CRAN.package.GUniFrac",R,2023-09-14,https://cran.r-project.org/web/packages/GUniFrac/index.html,https://cran.r-project.org/web/packages/GUniFrac/vignettes,GPL-3,NA,CRAN,Metagenomics and community analysis,0
HMP,"Hypothesis Testing and Power Calculations for Comparing
Metagenomic Samples from HMP",10.32614/CRAN.package.HMP,"Patricio S. La Rosa, Elena Deych, Sharina Carter, Berkley Shands, Dake Yang, William D. Shannon","HMP. (2019). Hypothesis Testing and Power Calculations for Comparing
Metagenomic Samples from HMP. R package version 2.0.1. https://doi.org/10.32614/CRAN.package.HMP",R,2019-08-31,https://cran.r-project.org/web/packages/HMP/index.html,https://cran.r-project.org/web/packages/HMP/vignettes,Apache License (== 2.0),NA,CRAN,Metagenomics and community analysis,0
